date,home_team,home_team_score,visit_team,visit_team_score
2007-11-17,Phoenix,106,Philadelphia,94
2007-11-18,Utah,120,Phoenix,117 OT
2007-11-20,Golden State,110,Phoenix,113
2007-11-22,Phoenix,92,New Orleans,83
2007-11-24,Phoenix,99,Brooklyn,93
2007-11-26,Portland,101,Phoenix,119
2007-11-29,Phoenix,102,Houston,91
2007-12-01,Phoenix,122,Milwaukee,116
2007-12-05,Phoenix,127,Sacramento,102
2007-12-07,Brooklyn,157 2OT,Phoenix,161
2007-12-08,Boston,111,Phoenix,116
2007-12-10,Charlotte,84,Phoenix,114
2007-12-11,Orlando,89,Phoenix,103
2007-12-13,Miami,89,Phoenix,99
2007-12-15,Phoenix,105,Golden State,101
2007-12-16,Sacramento,98,Phoenix,105
2007-12-19,Phoenix,115,Toronto,98
2007-12-22,Phoenix,139 OT,Washington,144
2007-12-26,Phoenix,110,Portland,87
2007-12-28,Dallas,101,Phoenix,99
2007-12-29,Phoenix,108,NY Knicks,86
2007-12-31,Detroit,101,Phoenix,108
2007-01-02,Chicago,96,Phoenix,97
2007-01-03,Toronto,98,Phoenix,100
2007-01-05,Phoenix,108,Miami,80
2007-01-07,Phoenix,128,Golden State,105
2007-01-09,Phoenix,113,Oklahoma City,102
2007-01-11,Phoenix,109,Cleveland,90
2007-01-13,Phoenix,107,Orlando,101
2007-01-15,Memphis,122,Phoenix,137
2007-01-17,Houston,91,Phoenix,100
2007-01-19,Phoenix,106,Portland,101
2007-01-21,Phoenix,131,Minnesota,102
2007-01-23,Washington,105,Phoenix,127
2007-01-24,NY Knicks,107,Phoenix,112
2007-01-26,Milwaukee,90,Phoenix,98
2007-01-28,Cleveland,100,Phoenix,115
2007-01-29,Minnesota,121,Phoenix,112
2007-02-01,Phoenix,103,San Antonio,87
2007-02-03,Phoenix,105,Utah,108
2007-02-05,Denver,108,Phoenix,113
2007-02-06,Portland,102 OT,Phoenix,109
2007-02-09,Phoenix,111,Atlanta,120
2007-02-11,Phoenix,103,Chicago,116
2007-02-14,Oklahoma City,114,Phoenix,90
2007-02-20,LA,90,Phoenix,115
2007-02-21,Phoenix,118,Boston,108
2007-02-23,Minnesota,104,Phoenix,116
2007-02-25,Atlanta,106,Phoenix,115
2007-02-27,Indiana,92,Phoenix,103
2007-02-28,Philadelphia,99,Phoenix,94
2007-03-02,Phoenix,115,Indiana,90
2007-03-04,Phoenix,99,Los Angeles,94
2007-03-07,Phoenix,115,Charlotte,106 OT
2007-03-09,Phoenix,104,New Orleans,103
2007-03-12,Phoenix,103,Houston,82
2007-03-14,Dallas,127 2OT,Phoenix,129
2007-03-16,Phoenix,83,Detroit,105
2007-03-17,Denver,131,Phoenix,107
2007-03-20,Phoenix,108,Minnesota,90
2007-03-22,Phoenix,118,Sacramento,100
2007-03-25,Sacramento,107,Phoenix,100
2007-03-26,Phoenix,105,Memphis,87
2007-03-29,Golden State,124,Phoenix,119
2007-03-30,Phoenix,125,Denver,108
2007-04-01,Phoenix,126,Dallas,104
2007-04-03,Memphis,111,Phoenix,116
2007-04-05,San Antonio,92,Phoenix,85
2007-04-06,New Orleans,95,Phoenix,103
2007-04-08,Los Angeles,107,Phoenix,115
2007-04-11,Phoenix,109,Oklahoma City,91
2007-04-13,Phoenix,93,Los Angeles,85
2007-04-14,Utah,98,Phoenix,126
2007-04-16,Houston,120,Phoenix,117
2007-04-17,Phoenix,99,LA,103
2008-11-01,Oklahoma City,99,Phoenix,106
2008-11-02,Phoenix,98,Los Angeles,119
2008-11-04,Phoenix,103,Cleveland,92
2008-11-06,Charlotte,83,Phoenix,115
2008-11-07,Atlanta,105,Phoenix,96
2008-11-09,Miami,101,Phoenix,106
2008-11-10,Orlando,96,Phoenix,106
2008-11-13,Phoenix,113,NY Knicks,102
2008-11-15,Phoenix,112,Chicago,102
2008-11-17,Houston,105,Phoenix,115
2008-11-20,Sacramento,98,Phoenix,100
2008-11-21,Phoenix,127,Sacramento,111
2008-11-23,Phoenix,113,LA,94
2008-11-26,Golden State,129,Phoenix,114
2008-11-28,Phoenix,94,Houston,100
2008-11-30,Phoenix,110,Orlando,106
2008-12-02,NY Knicks,104,Phoenix,115
2008-12-04,Indiana,117,Phoenix,121
2008-12-05,Toronto,123,Phoenix,136
2008-12-07,Washington,107,Phoenix,122
2008-12-08,Minnesota,100,Phoenix,93
2008-12-10,Phoenix,113,Miami,117
2008-12-12,Phoenix,103,Utah,98
2008-12-15,New Orleans,101,Phoenix,98
2008-12-17,San Antonio,95,Phoenix,100
2008-12-19,Dallas,108,Phoenix,105
2008-12-22,Phoenix,122,Toronto,103
2008-12-25,Los Angeles,122,Phoenix,115
2008-12-27,LA,88,Phoenix,108
2008-12-28,Phoenix,94,LA,88
2008-12-30,Sacramento,102,Phoenix,117
2008-01-03,Phoenix,104,Oklahoma City,96
2008-01-05,Phoenix,113,New Orleans,118
2008-01-07,Phoenix,137,Denver,115
2008-01-09,Phoenix,129,Indiana,122 OT
2008-01-10,Utah,108,Phoenix,86
2008-01-12,Phoenix,122,Milwaukee,114
2008-01-15,LA,97,Phoenix,90
2008-01-17,Los Angeles,98,Phoenix,106
2008-01-18,Phoenix,115,Minnesota,95
2008-01-20,Phoenix,116,Brooklyn,92
2008-01-22,Milwaukee,105,Phoenix,114
